Team, Position, Player Name, Height, Weight, Birth Date
Houston Rockets,F,Gary Clark,6 ft 8 in (2.03 m),225 lb (102 kg),1994–11–16
Houston Rockets,F,Vincent Edwards,6 ft 7 in (2.01 m),220 lb (100 kg),1996–04–05
Houston Rockets,F,James Ennis,6 ft 7 in (2.01 m),210 lb (95 kg),1990–07–01
Houston Rockets,G,Eric Gordon,6 ft 4 in (1.93 m),215 lb (98 kg),1988–12–25
Houston Rockets,G/F,Gerald Green,6 ft 7 in (2.01 m),205 lb (93 kg),1986–01–26
Houston Rockets,G,James Harden,6 ft 5 in (1.96 m),220 lb (100 kg),1989–08–26
Houston Rockets,F/C,Isaiah Hartenstein,7 ft 0 in (2.13 m),249 lb (113 kg),1998–05–05
Houston Rockets,G,R. J. Hunter,6 ft 5 in (1.96 m),185 lb (84 kg),1993–10–24
Houston Rockets,G/F,Joe Johnson,6 ft 7 in (2.01 m),240 lb (109 kg),1981–06–29
Houston Rockets,G,De'Anthony Melton,6 ft 3 in (1.91 m),193 lb (88 kg),1998–05–28
Houston Rockets,F/C,Nene,6 ft 11 in (2.11 m),250 lb (113 kg),1982–09–13
Houston Rockets,C,Chinanu Onuaku,6 ft 10 in (2.08 m),245 lb (111 kg),1996–11–01
Houston Rockets,G,Chris Paul,6 ft 0 in (1.83 m),175 lb (79 kg),1985–05–06
Houston Rockets,F,P. J. Tucker,6 ft 6 in (1.98 m),245 lb (111 kg),1985–05–05
Houston Rockets,F/C,Qi Zhou,7 ft 1 in (2.16 m),210 lb (95 kg),1996–01–16
Memphis Grizzlies,F,Kyle Anderson,6 ft 9 in (2.06 m),230 lb (104 kg),1993–09–20
Memphis Grizzlies,G/F,Dillon Brooks,6 ft 6 in (1.98 m),220 lb (100 kg),1996–01–22
Memphis Grizzlies,G/F,MarShon Brooks,6 ft 5 in (1.96 m),200 lb (91 kg),1989–01–29
Memphis Grizzlies,G,Jevon Carter,6 ft 2 in (1.88 m),196 lb (89 kg),1995–09–14
Memphis Grizzlies,F,Omri Casspi,6 ft 9 in (2.06 m),225 lb (102 kg),1988–06–22
Memphis Grizzlies,G,Mike Conley,6 ft 1 in (1.85 m),175 lb (79 kg),1987–10–11
Memphis Grizzlies,C,Marc Gasol,7 ft 1 in (2.16 m),255 lb (116 kg),1985–01–29
Memphis Grizzlies,F,JaMychal Green,6 ft 9 in (2.06 m),227 lb (103 kg),1990–06–21
Memphis Grizzlies,G,Andrew Harrison,6 ft 6 in (1.98 m),213 lb (97 kg),1994–10–28
Memphis Grizzlies,F,Jaren Jackson,6 ft 11 in (2.11 m),242 lb (110 kg),1999–09–15
Memphis Grizzlies,C,Dakari Johnson,7 ft 0 in (2.13 m),255 lb (116 kg),1995–09–22
Memphis Grizzlies,F,Chandler Parsons,6 ft 10 in (2.08 m),230 lb (104 kg),1988–10–25
Memphis Grizzlies,F,Ivan Rabb,6 ft 10 in (2.08 m),220 lb (100 kg),1997–02–04
Memphis Grizzlies,G/F,Wayne Selden,6 ft 5 in (1.96 m),230 lb (104 kg),1994–09–30
Memphis Grizzlies,G,Kobi Simmons,6 ft 4 in (1.93 m),170 lb (77 kg),1997–07–04
Memphis Grizzlies,G/F,Garrett Temple,6 ft 6 in (1.98 m),195 lb (88 kg),1986–05–08
Memphis Grizzlies,F,Yuta Watanabe,6 ft 9 in (2.06 m),205 lb (93 kg),1994–10–13
New Orleans Pelicans,C,Alexis Ajinca,7 ft 2 in (2.18 m),248 lb (112 kg),1988–05–06
New Orleans Pelicans,G,Trevon Bluiett,6 ft 5 in (1.96 m),215 lb (98 kg),1994–11–04
New Orleans Pelicans,G,Ian Clark,6 ft 3 in (1.91 m),175 lb (79 kg),1991–03–07
New Orleans Pelicans,G,Jordan Crawford,6 ft 5 in (1.96 m),195 lb (88 kg),1988–10–23
New Orleans Pelicans,F/C,Anthony Davis,6 ft 10 in (2.08 m),253 lb (115 kg),1993–03–11
New Orleans Pelicans,F,Cheick Diallo,6 ft 9 in (2.06 m),220 lb (100 kg),1996–09–13
New Orleans Pelicans,F,Garlon Green,6 ft 7 in (2.01 m),215 lb (98 kg),1991–01–11
New Orleans Pelicans,F,Solomon Hill,6 ft 7 in (2.01 m),225 lb (102 kg),1991–03–18
New Orleans Pelicans,G,Jrue Holiday,6 ft 4 in (1.93 m),205 lb (93 kg),1990–06–12
New Orleans Pelicans,G,Frank Jackson,6 ft 3 in (1.91 m),205 lb (93 kg),1998–05–04
New Orleans Pelicans,G,DeAndre Liggins,6 ft 6 in (1.98 m),209 lb (95 kg),1988–03–31
New Orleans Pelicans,F,Darius Miller,6 ft 8 in (2.03 m),225 lb (102 kg),1990–03–21
New Orleans Pelicans,F,Nikola Mirotic,6 ft 10 in (2.08 m),238 lb (108 kg),1991–02–11
New Orleans Pelicans,G/F,E'Twaun Moore,6 ft 4 in (1.93 m),191 lb (87 kg),1989–02–25
New Orleans Pelicans,C,Emeka Okafor,6 ft 10 in (2.08 m),255 lb (116 kg),1982–09–28
New Orleans Pelicans,G,Elfrid Payton,6 ft 4 in (1.93 m),185 lb (84 kg),1994–02–22
New Orleans Pelicans,F/C,Julius Randle,6 ft 9 in (2.06 m),250 lb (113 kg),1994–11–29
New Orleans Pelicans,G,Kenrich Williams,6 ft 7 in (2.01 m),210 lb (95 kg),1994–12–02
New Orleans Pelicans,F,Troy Williams,6 ft 7 in (2.01 m),220 lb (100 kg),1994–12–30
San Antonio Spurs,F,LaMarcus Aldridge,6 ft 11 in (2.11 m),260 lb (118 kg),1985–07–19
San Antonio Spurs,G/F,Marco Belinelli,6 ft 5 in (1.96 m),210 lb (95 kg),1986–03–25
San Antonio Spurs,F/C,Davis Bertans,6 ft 10 in (2.08 m),210 lb (95 kg),1992–11–12
San Antonio Spurs,F,Dante Cunningham,6 ft 8 in (2.03 m),230 lb (104 kg),1987–04–22
San Antonio Spurs,G,DeMar DeRozan,6 ft 7 in (2.01 m),220 lb (100 kg),1989–08–07
San Antonio Spurs,G,Bryn Forbes,6 ft 3 in (1.91 m),190 lb (86 kg),1993–07–23
San Antonio Spurs,C,Pau Gasol,7 ft 0 in (2.13 m),250 lb (113 kg),1980–07–06
San Antonio Spurs,F,Rudy Gay,6 ft 8 in (2.03 m),230 lb (104 kg),1986–08–17
San Antonio Spurs,G,Manu Ginobili,6 ft 6 in (1.98 m),205 lb (93 kg),1977–07–28
San Antonio Spurs,F,Chimezie Metu,6 ft 10 in (2.08 m),219 lb (99 kg),1997–03–22
San Antonio Spurs,G,Patty Mills,6 ft 0 in (1.83 m),185 lb (84 kg),1988–08–11
San Antonio Spurs,G,Dejounte Murray,6 ft 5 in (1.96 m),170 lb (77 kg),1996–09–19
San Antonio Spurs,C,Jakob Poltl,7 ft 0 in (2.13 m),230 lb (104 kg),1995–10–15
San Antonio Spurs,G,Lonnie Walker,6 ft 5 in (1.96 m),196 lb (89 kg),1998–12–14
San Antonio Spurs,G,Derrick White,6 ft 4 in (1.93 m),190 lb (86 kg),1994–07–02
Denver Nuggets,G/F,Will Barton,6 ft 6 in (1.98 m),190 lb (86 kg),1991–01–06
Denver Nuggets,G,Malik Beasley,6 ft 5 in (1.96 m),196 lb (89 kg),1996–11–26
Denver Nuggets,G/F,Torrey Craig,6 ft 6 in (1.98 m),215 lb (98 kg),1990–12–19
Denver Nuggets,G,Gary Harris,6 ft 4 in (1.93 m),210 lb (95 kg),1994–09–14
Denver Nuggets,F,Juan Hernangomez,6 ft 9 in (2.06 m),230 lb (104 kg),1995–09–28
Denver Nuggets,C,Nikola Jokic,6 ft 10 in (2.08 m),250 lb (113 kg),1995–02–19
Denver Nuggets,F,Tyler Lydon,6 ft 9 in (2.06 m),220 lb (100 kg),1996–04–09
Denver Nuggets,F,Trey Lyles,6 ft 10 in (2.08 m),234 lb (106 kg),1995–11–05
Denver Nuggets,F,Paul Millsap,6 ft 8 in (2.03 m),246 lb (112 kg),1985–02–10
Denver Nuggets,G,Monte Morris,6 ft 3 in (1.91 m),175 lb (79 kg),1995–06–27
Denver Nuggets,G,Jamal Murray,6 ft 4 in (1.93 m),207 lb (94 kg),1997–02–23
Denver Nuggets,F/C,Mason Plumlee,6 ft 11 in (2.11 m),255 lb (116 kg),1990–03–05
Denver Nuggets,F,Michael Porter,6 ft 10 in (2.08 m),215 lb (98 kg),1998–06–29
Denver Nuggets,G,Isaiah Thomas,5 ft 9 in (1.75 m),185 lb (84 kg),1989–02–07
Denver Nuggets,F,Jarred Vanderbilt,6 ft 9 in (2.06 m),214 lb (97 kg),1999–04–03
Denver Nuggets,C,Thomas Welsh,7 ft 0 in (2.13 m),255 lb (116 kg),1996–02–03
Minnesota Timberwolves,F,Keita Bates-Diop,6 ft 9 in (2.06 m),223 lb (101 kg),1996–01–23
Minnesota Timberwolves,G,Aaron Brooks,6 ft 0 in (1.83 m),161 lb (73 kg),1985–01–14
Minnesota Timberwolves,G,Jimmy Butler,6 ft 8 in (2.03 m),236 lb (107 kg),1989–09–14
Minnesota Timberwolves,G,Jamal Crawford,6 ft 5 in (1.96 m),185 lb (84 kg),1980–03–20
Minnesota Timberwolves,C,Gorgui Dieng,6 ft 11 in (2.11 m),251 lb (114 kg),1990–01–18
Minnesota Timberwolves,G,Marcus Georges-Hunt,6 ft 5 in (1.96 m),226 lb (103 kg),1994–03–28
Minnesota Timberwolves,F,Taj Gibson,6 ft 9 in (2.06 m),235 lb (107 kg),1985–06–24
Minnesota Timberwolves,G,Tyus Jones,6 ft 2 in (1.88 m),184 lb (83 kg),1996–05–10
Minnesota Timberwolves,G,Josh Okogie,6 ft 5 in (1.96 m),211 lb (96 kg),1998–09–01
Minnesota Timberwolves,C,Justin Patton,7 ft 0 in (2.13 m),236 lb (107 kg),1997–06–14
Minnesota Timberwolves,G,Derrick Rose,6 ft 3 in (1.91 m),190 lb (86 kg),1988–10–04
Minnesota Timberwolves,G,Jeff Teague,6 ft 2 in (1.88 m),189 lb (86 kg),1988–06–10
Minnesota Timberwolves,G,Jared Terrell,6 ft 3 in (1.91 m),216 lb (98 kg),1995–02–10
Minnesota Timberwolves,F,Anthony Tolliver,6 ft 8 in (2.03 m),240 lb (109 kg),1985–06–01
Minnesota Timberwolves,C,Karl-Anthony Towns,7 ft 0 in (2.13 m),248 lb (112 kg),1995–11–15
Minnesota Timberwolves,F,Andrew Wiggins,6 ft 8 in (2.03 m),202 lb (92 kg),1995–02–23
Oklahoma City Thunder,G,Alex Abrines,6 ft 6 in (1.98 m),190 lb (86 kg),1993–08–01
Oklahoma City Thunder,C,Steven Adams,7 ft 0 in (2.13 m),255 lb (116 kg),1993–07–20
Oklahoma City Thunder,G,Deonte Burton,6 ft 5 in (1.96 m),250 lb (113 kg),1994–01–31
Oklahoma City Thunder,G,Hamidou Diallo,6 ft 5 in (1.96 m),198 lb (90 kg),1998–07–31
Oklahoma City Thunder,G,Raymond Felton,6 ft 1 in (1.85 m),205 lb (93 kg),1984–06–26
Oklahoma City Thunder,G,Terrance Ferguson,6 ft 7 in (2.01 m),184 lb (83 kg),1998–05–17
Oklahoma City Thunder,F,Paul George,6 ft 9 in (2.06 m),220 lb (100 kg),1990–05–02
Oklahoma City Thunder,F,Jerami Grant,6 ft 9 in (2.06 m),220 lb (100 kg),1994–03–12
Oklahoma City Thunder,G,Devon Hall,6 ft 6 in (1.98 m),206 lb (93 kg),1995–07–07
Oklahoma City Thunder,F,Kevin Hervey,6 ft 8 in (2.03 m),211 lb (96 kg),1996–07–09
Oklahoma City Thunder,G/F,Timothe Luwawu-Cabarrot,6 ft 6 in (1.98 m),200 lb (91 kg),1995–05–09
Oklahoma City Thunder,F,Abdel Nader,6 ft 6 in (1.98 m),230 lb (104 kg),1993–09–25
Oklahoma City Thunder,C,Nerlens Noel,6 ft 11 in (2.11 m),220 lb (100 kg),1994–04–10
Oklahoma City Thunder,F,Patrick Patterson,6 ft 9 in (2.06 m),230 lb (104 kg),1989–03–14
Oklahoma City Thunder,G,Andre Roberson,6 ft 7 in (2.01 m),210 lb (95 kg),1991–12–04
Oklahoma City Thunder,G,Dennis Schroder,6 ft 1 in (1.85 m),172 lb (78 kg),1993–09–15
Oklahoma City Thunder,F,Kyle Singler,6 ft 8 in (2.03 m),228 lb (103 kg),1988–05–04
Oklahoma City Thunder,G,Russell Westbrook,6 ft 3 in (1.91 m),200 lb (91 kg),1988–11–12
Portland Trail Blazers,F,Al-Farouq Aminu,6 ft 9 in (2.06 m),220 lb (100 kg),1990–09–21
Portland Trail Blazers,G,Wade Baldwin,6 ft 4 in (1.93 m),202 lb (92 kg),1996–03–29
Portland Trail Blazers,F/C,Zach Collins,7 ft 0 in (2.13 m),230 lb (104 kg),1997–11–19
Portland Trail Blazers,G,Seth Curry,6 ft 2 in (1.88 m),185 lb (84 kg),1990–08–23
Portland Trail Blazers,F/C,Ed Davis,6 ft 10 in (2.08 m),245 lb (111 kg),1989–06–05
Portland Trail Blazers,F,Maurice Harkless,6 ft 9 in (2.06 m),220 lb (100 kg),1993–05–11
Portland Trail Blazers,F,Jake Layman,6 ft 9 in (2.06 m),210 lb (95 kg),1994–03–07
Portland Trail Blazers,C,Meyers Leonard,7 ft 1 in (2.16 m),255 lb (116 kg),1992–02–27
Portland Trail Blazers,G,Damian Lillard,6 ft 3 in (1.91 m),195 lb (88 kg),1990–07–15
Portland Trail Blazers,G,C. J. McCollum,6 ft 3 in (1.91 m),190 lb (86 kg),1991–09–19
Portland Trail Blazers,C,Jusuf Nurkic,7 ft 0 in (2.13 m),280 lb (127 kg),1994–08–23
Portland Trail Blazers,G,Anfernee Simons,6 ft 4 in (1.93 m),183 lb (83 kg),1999–06–08
Portland Trail Blazers,G,Nik Stauskas,6 ft 6 in (1.98 m),205 lb (93 kg),1993–10–07
Portland Trail Blazers,F/C,Caleb Swanigan,6 ft 8 in (2.03 m),250 lb (113 kg),1997–04–18
Portland Trail Blazers,G,Gary Trent,6 ft 6 in (1.98 m),204 lb (93 kg),1999–01–18
Portland Trail Blazers,G/F,Evan Turner,6 ft 7 in (2.01 m),220 lb (100 kg),1988–10–27
Utah Jazz,G,Grayson Allen,6 ft 5 in (1.96 m),198 lb (90 kg),1995–10–08
Utah Jazz,C,Tony Bradley,6 ft 10 in (2.08 m),248 lb (112 kg),1998–01–08
Utah Jazz,G,Alec Burks,6 ft 6 in (1.98 m),214 lb (97 kg),1991–07–20
Utah Jazz,F,Jae Crowder,6 ft 6 in (1.98 m),235 lb (107 kg),1990–07–06
Utah Jazz,G,Dante Exum,6 ft 6 in (1.98 m),190 lb (86 kg),1995–07–13
Utah Jazz,F/C,Derrick Favors,6 ft 10 in (2.08 m),265 lb (120 kg),1991–07–15
Utah Jazz,C,Rudy Gobert,7 ft 1 in (2.16 m),245 lb (111 kg),1992–06–26
Utah Jazz,F,Joe Ingles,6 ft 8 in (2.03 m),226 lb (103 kg),1987–10–02
Utah Jazz,G,Jairus Lyles,6 ft 2 in (1.88 m),175 lb (79 kg),1995–07–06
Utah Jazz,G,Donovan Mitchell,6 ft 3 in (1.91 m),215 lb (98 kg),1996–09–07
Utah Jazz,G,Naz Mitrou-Long,6 ft 4 in (1.93 m),218 lb (99 kg),1993–08–03
Utah Jazz,G,Raul Neto,6 ft 1 in (1.85 m),179 lb (81 kg),1992–05–19
Utah Jazz,F,Georges Niang,6 ft 6 in (1.98 m),231 lb (105 kg),1993–06–17
Utah Jazz,F,Royce O'Neale,6 ft 6 in (1.98 m),226 lb (103 kg),1993–06–05
Utah Jazz,G,Ricky Rubio,6 ft 4 in (1.93 m),190 lb (86 kg),1990–10–21
Utah Jazz,F,Thabo Sefolosha,6 ft 7 in (2.01 m),220 lb (100 kg),1984–05–02
Utah Jazz,G,David Stockton,5 ft 11 in (1.80 m),165 lb (75 kg),1991–06–24
Utah Jazz,F/C,Ekpe Udoh,6 ft 10 in (2.08 m),245 lb (111 kg),1987–05–20
Golden State Warriors,F/C,Jordan Bell,6 ft 9 in (2.06 m),224 lb (102 kg),1995–01–07
Golden State Warriors,G,Quinn Cook,6 ft 2 in (1.88 m),179 lb (81 kg),1993–03–23
Golden State Warriors,C,DeMarcus Cousins,6 ft 11 in (2.11 m),270 lb (122 kg),1990–08–13
Golden State Warriors,G,Stephen Curry,6 ft 3 in (1.91 m),190 lb (86 kg),1988–03–14
Golden State Warriors,F,Kevin Durant,6 ft 9 in (2.06 m),240 lb (109 kg),1988–09–29
Golden State Warriors,G,Jacob Evans,6 ft 6 in (1.98 m),199 lb (90 kg),1997–06–18
Golden State Warriors,F,Draymond Green,6 ft 7 in (2.01 m),230 lb (104 kg),1990–03–04
Golden State Warriors,G/F,Andre Iguodala,6 ft 6 in (1.98 m),215 lb (98 kg),1984–01–28
Golden State Warriors,F,Jonas Jerebko,6 ft 10 in (2.08 m),231 lb (105 kg),1987–03–12
Golden State Warriors,C,Damian Jones,7 ft 0 in (2.13 m),245 lb (111 kg),1995–06–30
Golden State Warriors,G,Damion Lee,6 ft 6 in (1.98 m),210 lb (95 kg),1992–10–21
Golden State Warriors,G,Shaun Livingston,6 ft 7 in (2.01 m),192 lb (87 kg),1985–09–11
Golden State Warriors,F,Kevon Looney,6 ft 9 in (2.06 m),220 lb (100 kg),1996–02–06
Golden State Warriors,G,Patrick McCaw,6 ft 7 in (2.01 m),185 lb (84 kg),1995–10–25
Golden State Warriors,G,Klay Thompson,6 ft 7 in (2.01 m),215 lb (98 kg),1990–02–08
Los Angeles Clippers,G,Patrick Beverley,6 ft 1 in (1.85 m),185 lb (84 kg),1988–07–12
Los Angeles Clippers,G,Avery Bradley,6 ft 2 in (1.88 m),180 lb (82 kg),1990–11–26
Los Angeles Clippers,F,Sam Dekker,6 ft 9 in (2.06 m),230 lb (104 kg),1994–05–06
Los Angeles Clippers,C,Angel Delgado,6 ft 10 in (2.08 m),245 lb (111 kg),1994–11–20
Los Angeles Clippers,G,Jawun Evans,6 ft 0 in (1.83 m),190 lb (86 kg),1996–07–26
Los Angeles Clippers,F,Danilo Gallinari,6 ft 10 in (2.08 m),225 lb (102 kg),1988–08–08
Los Angeles Clippers,G,Shai Gilgeous-Alexander,6 ft 6 in (1.98 m),180 lb (82 kg),1998–07–12
Los Angeles Clippers,C,Marcin Gortat,6 ft 11 in (2.11 m),240 lb (109 kg),1984–02–17
Los Angeles Clippers,F/C,Montrezl Harrell,6 ft 8 in (2.03 m),240 lb (109 kg),1994–01–26
Los Angeles Clippers,F,Tobias Harris,6 ft 9 in (2.06 m),235 lb (107 kg),1992–07–15
Los Angeles Clippers,G/F,Wesley Johnson,6 ft 7 in (2.01 m),215 lb (98 kg),1987–07–11
Los Angeles Clippers,C,Boban Marjanovic,7 ft 3 in (2.21 m),290 lb (132 kg),1988–08–15
Los Angeles Clippers,F,Mbah,6 ft 8 in (2.03 m),230 lb (104 kg),1986–09–09
Los Angeles Clippers,F,Johnathan Motley,6 ft 10 in (2.08 m),230 lb (104 kg),1995–05–04
Los Angeles Clippers,G,Jerome Robinson,6 ft 5 in (1.96 m),188 lb (85 kg),1997–02–22
Los Angeles Clippers,F,Mike Scott,6 ft 8 in (2.03 m),237 lb (108 kg),1988–07–16
Los Angeles Clippers,G,Milos Teodosic,6 ft 5 in (1.96 m),196 lb (89 kg),1987–03–19
Los Angeles Clippers,G,Sindarius Thornwell,6 ft 5 in (1.96 m),215 lb (98 kg),1994–11–15
Los Angeles Clippers,G,Lou Williams,6 ft 1 in (1.85 m),175 lb (79 kg),1986–10–27
Los Angeles Lakers,G,Lonzo Ball,6 ft 6 in (1.98 m),190 lb (86 kg),1997–10–27
Los Angeles Lakers,F,Michael Beasley,6 ft 9 in (2.06 m),235 lb (107 kg),1989–01–09
Los Angeles Lakers,G,Joel Berry,6 ft 0 in (1.83 m),195 lb (88 kg),1995–04–01
Los Angeles Lakers,G,Isaac Bonga,6 ft 9 in (2.06 m),203 lb (92 kg),1999–11–08
Los Angeles Lakers,G,Kentavious Caldwell-Pope,6 ft 5 in (1.96 m),205 lb (93 kg),1993–02–18
Los Angeles Lakers,G,Jeffrey Carroll,6 ft 6 in (1.98 m),210 lb (95 kg),1994–11–06
Los Angeles Lakers,G,Alex Caruso,6 ft 5 in (1.96 m),186 lb (84 kg),1994–02–28
Los Angeles Lakers,F,Luol Deng,6 ft 9 in (2.06 m),220 lb (100 kg),1985–04–16
Los Angeles Lakers,G,Josh Hart,6 ft 5 in (1.96 m),215 lb (98 kg),1995–03–06
Los Angeles Lakers,G/F,Brandon Ingram,6 ft 9 in (2.06 m),190 lb (86 kg),1997–09–02
Los Angeles Lakers,G/F,LeBron James,6 ft 8 in (2.03 m),250 lb (113 kg),1984–12–30
Los Angeles Lakers,F,Kyle Kuzma,6 ft 9 in (2.06 m),220 lb (100 kg),1995–07–24
Los Angeles Lakers,C,JaVale McGee,7 ft 0 in (2.13 m),270 lb (122 kg),1988–01–19
Los Angeles Lakers,F,Sviatoslav Mykhailiuk,6 ft 8 in (2.03 m),212 lb (96 kg),1997–06–10
Los Angeles Lakers,G,Rajon Rondo,6 ft 1 in (1.85 m),186 lb (84 kg),1986–02–22
Los Angeles Lakers,G,Lance Stephenson,6 ft 5 in (1.96 m),230 lb (104 kg),1990–09–05
Los Angeles Lakers,F,Moritz Wagner,7 ft 0 in (2.13 m),241 lb (109 kg),1997–04–26
Los Angeles Lakers,F,Travis Wear,6 ft 10 in (2.08 m),190 lb (86 kg),1990–09–21
Los Angeles Lakers,F,Johnathan Williams,6 ft 9 in (2.06 m),230 lb (104 kg),1995–05–22
Los Angeles Lakers,C,Ivica Zubac,7 ft 1 in (2.16 m),265 lb (120 kg),1997–03–18
Phoenix Suns,G/F,Trevor Ariza,6 ft 8 in (2.03 m),215 lb (98 kg),1985–06–30
Phoenix Suns,F,Darrell Arthur,6 ft 9 in (2.06 m),235 lb (107 kg),1988–03–25
Phoenix Suns,F/C,Deandre Ayton,7 ft 1 in (2.16 m),250 lb (113 kg),1998–07–23
Phoenix Suns,F,Dragan Bender,7 ft 1 in (2.16 m),225 lb (102 kg),1997–11–17
Phoenix Suns,G,Devin Booker,6 ft 6 in (1.98 m),210 lb (95 kg),1996–10–30
Phoenix Suns,G/F,Mikal Bridges,6 ft 7 in (2.01 m),210 lb (95 kg),1996–08–30
Phoenix Suns,C,Tyson Chandler,7 ft 1 in (2.16 m),240 lb (109 kg),1982–10–02
Phoenix Suns,F,Marquese Chriss,6 ft 10 in (2.08 m),240 lb (109 kg),1997–07–02
Phoenix Suns,G,Troy Daniels,6 ft 4 in (1.93 m),205 lb (93 kg),1991–07–15
Phoenix Suns,G,Shaquille Harrison,6 ft 4 in (1.93 m),190 lb (86 kg),1993–10–06
Phoenix Suns,F/C,Richaun Holmes,6 ft 10 in (2.08 m),235 lb (107 kg),1993–10–15
Phoenix Suns,G/F,Josh Jackson,6 ft 8 in (2.03 m),200 lb (91 kg),1997–02–10
Phoenix Suns,F,George King,6 ft 6 in (1.98 m),218 lb (99 kg),1994–01–15
Phoenix Suns,G,Brandon Knight,6 ft 3 in (1.91 m),195 lb (88 kg),1991–12–02
Phoenix Suns,G,Elie Okobo,6 ft 2 in (1.88 m),180 lb (82 kg),1996–10–23
Phoenix Suns,G,Davon Reed,6 ft 6 in (1.98 m),210 lb (95 kg),1995–06–11
Phoenix Suns,F,T. J. Warren,6 ft 8 in (2.03 m),215 lb (98 kg),1993–09–05
Sacramento Kings,F,Marvin Bagley,6 ft 11 in (2.11 m),234 lb (106 kg),1999–03–14
Sacramento Kings,F,Nemanja Bjelica,6 ft 10 in (2.08 m),234 lb (106 kg),1988–05–09
Sacramento Kings,G,Bogdan Bogdanovic,6 ft 6 in (1.98 m),205 lb (93 kg),1992–08–18
Sacramento Kings,C,Willie Cauley-Stein,7 ft 0 in (2.13 m),240 lb (109 kg),1993–08–18
Sacramento Kings,F/C,Deyonta Davis,6 ft 11 in (2.11 m),237 lb (108 kg),1996–12–02
Sacramento Kings,G,Yogi Ferrell,6 ft 0 in (1.83 m),180 lb (82 kg),1993–05–09
Sacramento Kings,G,De'Aaron Fox,6 ft 3 in (1.91 m),175 lb (79 kg),1997–12–20
Sacramento Kings,F,Wenyen Gabriel,6 ft 9 in (2.06 m),213 lb (97 kg),1997–03–26
Sacramento Kings,F/C,Harry Giles,6 ft 10 in (2.08 m),240 lb (109 kg),1998–04–22
Sacramento Kings,G,Buddy Hield,6 ft 4 in (1.93 m),214 lb (97 kg),1993–12–17
Sacramento Kings,F,Justin Jackson,6 ft 8 in (2.03 m),210 lb (95 kg),1995–03–28
Sacramento Kings,C,Kosta Koufos,7 ft 0 in (2.13 m),265 lb (120 kg),1989–02–24
Sacramento Kings,F/C,Skal Labissiere,6 ft 11 in (2.11 m),225 lb (102 kg),1996–03–18
Sacramento Kings,G,Frank Mason,5 ft 11 in (1.80 m),190 lb (86 kg),1994–04–03
Sacramento Kings,G,Ben McLemore,6 ft 5 in (1.96 m),195 lb (88 kg),1993–02–11
Sacramento Kings,F,Zach Randolph,6 ft 9 in (2.06 m),250 lb (113 kg),1981–07–16
Sacramento Kings,G,Iman Shumpert,6 ft 5 in (1.96 m),220 lb (100 kg),1990–06–26
